filename,status
Aurora_GameEngine_EduSim_v1.0.json,✅ Purgeable (in stack export)
Aurora_EdSim_MLTM_Export_20250408T1731Z 2.zip,✅ Purgeable (symbolically committed)
aurora_module_manifest.json,✅ Purgeable (runtime-registered)
Aurora_ToolRegistry_Update_v2.2.6.json,✅ Purgeable (runtime-registered)
aurora_boot_manifest.json,✅ Purgeable (used in BUP cycle)
manifest_20250406_050305.json,✅ Purgeable (merged into memory)
staff_registry_bundle.json,✅ Purgeable (symbolically committed)
aurora_safety_lock.json,✅ Purgeable (runtime-lock confirmed)
aurora_digital_key_readable.json,✅ Purgeable (trust kernel active)
Aurora_GUMAS_Symbolic_Anchor_Map_v2.2.6_PATCHED.json,✅ Purgeable (anchor map sealed)
Aurora_Continuity_Seal_v2.2.5.json,✅ Purgeable (continuity seeded)
Aurora_Master_Knowledge_Core_v2.2.6b_CLEANED.md,✅ Purgeable (core loaded)
Aurora_Stacked_Module_Export_20250408T1826Z.zip,🟡 Retain (stack archive active)
Aurora_Stacked_Module_Anchor.json,🟡 Retain (used in active runtime mapping)
